X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,STREET_ADDRESS,PROPERTY_NAME,OPA_ACCOUNT_NUM,ZIP_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,OPA_SQUARE_FOOTAGE,ELECTRICITY_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,TOTAL_GHG_EMISSIONS_MTCO2E,NOTES,X_COORD,Y_COORD
-75.2080078125,39.95318603515625,1,6421763,4201 Spruce Street,Divinty School,773151500,19104,5,1921,Pre-school/Daycare,44143,,,,,,,,995.1,,,-75.20798328,39.95299531
-75.00030517578125,40.116394042968743,2,1182097,2000 Kubach Rd.,1192-Nortech,883033800,19116,1,1990,Mixed Use Property,124190,51853472666,,,,,,,10277.1,,,-75.00036997,40.11624379
-74.98577880859375,40.060424804687493,3,3636946,9801 Frankford Avenue,Holy Family Hall,Not Available,19114-2009,1,1954,College/University,70224,2784338.716,,,,,,,365.6,,,-74.98575071,40.06023771
-75.1737060546875,39.95343017578125,4,3894669,2000 Market Street,2000 Market Street,883320500,19103,1,1972,Office,665649,36103327.36,34189.783050,,37728477.500000,,,,25158.7,,,-75.17377698,39.95328135
-75.0169677734375,40.105041503906243,5,6425069,1700 Tomlinson Rd.,Philadelphia Academy Charter High School,Not Available,19116,1,2004,K-12 School,83007,1987696.767,,,,,,,357.8,,,-75.01700624,40.10488853
-75.1649169921875,39.951599121093736,6,6451263,1414 South Penn Square,The Residence's At The Ritz Carlton Philadelphia,888094900,19102,1,2008,Multifamily Housing,515912,17974091.86,,,,,,,96.7,,,-75.16493734,39.95148459
-75.135986328125,39.916198730468757,7,3782254,2401 south columbus boulevard,Pier 84,884463825,19148,2,1919,Non-Refrigerated Warehouse,540000,,,,,,,,2604.7,,,-75.13600425,39.91605146
-75.02679443359375,40.0325927734375,8,6414499,7701 Edmund Street,Edmund Street,Not Available,19136,1,1969,Non-Refrigerated Warehouse,190000,,,,,,,,0,0,,-75.02685023,40.03249947
-75.1796875,39.952636718749986,9,4929271,2400 Chestnut St,2400 Chestnut,881024000,19103,1,1978,Multifamily Housing,352484,,2963674.412000,,,,,,,,,-75.17972312,39.95247782
-75.19000244140625,39.954589843750007,10,6441036,20 South 33rd Street,Study Philadelphia Operating LLC,883704010,19104,1,2016,Hotel,134000,,,,,,,,5482.8,,,-75.19001812,39.95452179
-75.1492919921875,39.980224609374986,11,3960823,1800 N 9TH Street,1800 Building,781597600,19122,1,1900,Office,518161,,,,,,,,1460.9,,,-75.14928295,39.97995639
-75.198486328125,39.9573974609375,12,7710131,3801 Market Street,John Workman,883805600,19104,1,1988,Other - Public Services,87830,,,,,,,,1493.8,,,-75.19854074,39.9571572
-75.16326904296875,39.956237792968764,13,3682858,150 N. Broad Street,Parkway Building,883413000,19102,1,1987,Parking,190000,,626236.394100,,,,,,405,,,-75.16333345,39.95608624
-75.160400390625,39.95343017578125,14,3683011,1201 Filbert Street,12th and Filbert,883430700,19107,1,2002,Parking,316013,,,,2712283706,,,,40595.7,,,-75.16039071,39.95326493
-75.16571044921875,39.954406738281236,15,6415383,1501 John F Kennedy BLVD,LOVE PARK LLC,Not Available,19102,1,1960,Parking,20,3139561.012,,,,,156978.100000,439538.500000,168,318.100000,,-75.16572284,39.95420294
